MeanEEG,StdEEG,Kurtosis,Skewness,AR_Coefficients,HjorthActivity,HjorthMobility,HjorthComplexity,AlphaPower,BetaPower,GammaPower,DeltaPower,ThetaPower,DeltaAlpha,DeltaBeta,DeltaGamma,DeltaTheta,ThetaAlpha,ThetaBeta,ThetaGamma,AlphaBeta,AlphaGamma,BetaGamma,BetaAlphaTheta,ThetaAlphaBeta,DeltaThetaAlphaBeta,DeltaThetaBetaGamma,BetaGammaDeltaTheta
-0.292781719456213,24.7162235441968,5.04623832882491,0.0387152204175457,3.0575;-3.5572;1.4529;0.6335;-0.60813;-0.28831;0.26224;0.25663;-0.3431;0.12942,610.891706286706,0.212318687487243,1.83981693637621,236.423322432511,91.2130028723288,2.03596678636984,382.098393923897,48.290279523155,0.48005421383905,1.43248068888478,5.23470736577883,2.06844786286062,-1.58839364902157,-0.635967173975846,3.1662595029182,0.952426475045728,4.75465315193978,3.80222667689405,-1.13828630732209,-1.91467394063971,0.272784463225058,1.52941568293439,-1.52941568293439
-0.28702332275019,18.3058462679616,3.66289828997779,-0.174302850866048,3.1333;-3.8466;1.8177;0.54811;-0.78672;-0.17965;0.3594;0.14649;-0.32227;0.12607,335.104007586244,0.155455153162104,3.14192651475863,28.7740716329603,15.4270974536867,1.60181525086649,259.119679888725,50.2554364469844,2.19781534836901,2.82116450138785,5.08615252154074,1.64017131039683,0.557644037972183,1.18099319099102,3.44598121114391,0.623349153018837,2.88833717317173,2.26498802015289,-1.63369576462913,0.128367490428973,1.94580327069948,2.89964186260757,-2.89964186260757
-0.278124594104177,21.4262240755314,3.67366307736129,-0.114770566664114,3.6506;-5.6413;4.2958;-0.80863;-1.2235;0.69545;0.37285;-0.52362;0.17935,459.083078134879,0.210025031721703,2.00660250411268,91.3271243533394,84.5449202591643,2.45588231746741,278.646603514114,47.6228043936814,1.11549649098943,1.19266133105206,4.73145823206912,1.76663259445156,-0.651136103462129,-0.5739712633995,2.96482563761757,0.0771648400626285,3.6159617410797,3.53879690101707,-0.496830649578855,-1.30644498097015,0.617966733323196,1.32180610107676,-1.32180610107676
-0.270024198835132,27.0910516444472,4.05760657943564,0.130021636337254,3.4845;-5.1161;3.7691;-0.83095;-0.8496;0.67787;-0.10176;-0.067379;0.030774,733.925079202103,0.155428608038893,2.79256882637841,34.3904546242728,60.6870160137914,2.60209911590373,331.627916442198,147.011713004711,2.26623456279549,1.69828383585332,4.84769513525217,0.813501342908525,1.45273321988696,0.884782492944796,4.03419379234364,-0.567950726942165,2.58146057245668,3.14941129939885,-1.09498671608898,0.435820224230853,1.61625593522462,2.02323461741535,-2.02323461741535
-0.174937195200289,18.5892617700179,3.14926096515535,0.115853383574009,3.7024;-5.8529;4.6754;-1.1551;-1.1603;0.9831;-0.04225;-0.24823;0.094719,345.560653154249,0.158042118811124,3.02549508537664,25.4422743006206,29.890705998853,1.77133216354952,201.634700022022,73.42639534737,2.0700455114254,1.90891004859251,4.73472574623832,1.01017416389722,1.05987134752819,0.89873588469529,3.7245515823411,-0.161135462832896,2.66468023481292,2.82581569764581,-1.19624480433217,0.282914361075526,1.6036241184331,2.16187480901418,-2.16187480901418
-0.174937195200289,18.5892617700179,3.14926096515535,0.115853383574009,3.7024;-5.8529;4.6754;-1.1551;-1.1603;0.9831;-0.04225;-0.24823;0.094719,345.560653154249,0.158042118811124,3.02549508537664,25.4422743006206,29.890705998853,1.77133216354952,201.634700022022,73.42639534737,2.0700455114254,1.90891004859251,4.73472574623832,1.01017416389722,1.05987134752819,0.89873588469529,3.7245515823411,-0.161135462832896,2.66468023481292,2.82581569764581,-1.19624480433217,0.282914361075526,1.6036241184331,2.16187480901418,-2.16187480901418
-0.169091907525006,24.1780267487016,3.83698236137651,-0.235175603841864,4.41012;-9.18396;11.7376;-9.54512;3.88449;1.42158;-3.56121;2.75353;-1.12692;0.206925,584.576977460928,0.188922166935388,2.53653427228701,82.0235168054422,48.4341493068092,3.82823871040322,419.494233751895,137.515838863399,1.63204378382886,2.15884465116743,4.69664494960069,1.11531067808053,0.516733105748332,1.0435339730869,3.58133427152016,0.52680086733857,3.06460116577183,2.53780029843326,-1.51132638422075,0.0526903256791869,1.45153454692651,2.36630636947194,-2.36630636947194
-0.16793930627116,27.112101646891,3.98897265701328,0.204406504684753,3.2551;-4.159;2.0985;0.49302;-0.88092;-0.12465;0.36605;0.13645;-0.31948;0.13165,735.066055711352,0.209789946396489,1.88427464776502,200.036706156755,151.183010252364,2.36632152524148,442.274950005322,61.1247883155429,0.793430867022771,1.07344065613877,5.23059509717517,1.97901426286622,-1.18558339584345,-0.905573606727453,3.25158083430895,0.280009789115995,4.4371642301524,4.1571544410364,-0.546647877365449,-1.74849451565359,0.359972562575365,1.18736266782307,-1.18736266782307
-0.133990575930515,19.9327158018843,3.65232131456162,0.0138847543451486,3.0497;-3.6249;1.6305;0.52868;-0.6763;-0.18624;0.2603;0.21769;-0.34177;0.13728,397.313159238688,0.191950192594425,2.40618593254372,72.1248622182287,48.4746037393672,2.4236797135005,267.291144127161,59.6524516990678,1.30993967725137,1.70729846519931,4.70305156367546,1.49980324264998,-0.189863565398613,0.207495222549333,3.20324832102548,0.397358787947946,3.39311188642409,2.99575309847614,-1.00007345563543,-0.703939606962329,0.997312810120147,1.85995846711552,-1.85995846711552
-0.104943593479738,19.3188841272937,3.68457207615332,-0.0546990494332612,4.1057;-7.9055;9.3069;-7.0457;2.9416;0.37637;-1.7884;1.6518;-0.87447;0.22854,373.219283923802,0.227955509149083,1.94190613086765,127.481782251824,37.195932277277,2.55919717314176,228.677502748077,38.0662768183996,0.584339255955987,1.81611331813088,4.49261912097985,1.79298395874265,-1.20864470278666,0.0231293593882359,2.69963516223721,1.2317740621749,3.90827986502387,2.67650580284897,-1.49306213187896,-1.46466155124775,0.482298252020324,1.90354969501865,-1.90354969501865
